epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9395,2.79366,3.40405,2.25022,0.01333,0.10323,0.01157,0.00335,3.05046,3.33082,2.20353,2e-05,2e-05,2e-05
2,55.229,2.69747,3.40269,2.11911,0.01458,0.1129,0.01399,0.00471,2.75838,3.32123,2.02844,5.8812e-05,5.8812e-05,5.8812e-05
3,77.0269,2.25351,3.24907,1.90814,0.0225,0.17419,0.02599,0.00872,2.49837,3.27222,1.86295,9.604e-05,9.604e-05,9.604e-05
4,98.663,1.98362,3.14133,1.68922,0.03417,0.26452,0.03356,0.01149,2.44268,3.2542,1.83959,0.000131684,0.000131684,0.000131684
5,119.808,1.98211,2.88497,1.67731,0.03917,0.30323,0.04748,0.0177,2.35212,3.16302,1.86812,0.000165744,0.000165744,0.000165744
6,141.922,1.74497,2.6769,1.52527,0.04125,0.31935,0.06824,0.0257,2.30809,3.08356,1.97813,0.00019822,0.00019822,0.00019822
7,163.369,1.65446,2.47163,1.4544,0.19393,0.10323,0.06734,0.02385,2.24911,3.00551,1.99606,0.000229112,0.000229112,0.000229112
8,184.895,1.63793,2.28079,1.40384,0.20998,0.06452,0.06273,0.02415,2.25684,2.92885,1.94394,0.00025842,0.00025842,0.00025842
9,206.741,1.62683,2.04514,1.36513,0.19204,0.14839,0.07136,0.02899,2.21564,2.89257,1.8656,0.000286144,0.000286144,0.000286144
10,228.832,1.60746,1.96518,1.39879,0.09739,0.20968,0.08232,0.03469,2.09903,2.84994,1.74458,0.000312284,0.000312284,0.000312284
11,250.93,1.63782,1.86614,1.38866,0.05417,0.41935,0.10208,0.04141,2.08117,2.81158,1.67461,0.00033684,0.00033684,0.00033684
12,272.142,1.58349,1.8555,1.34521,0.05417,0.41935,0.124,0.05203,2.02019,2.77546,1.59722,0.000359812,0.000359812,0.000359812
13,292.678,1.46892,1.70052,1.2885,0.05583,0.43226,0.1337,0.05712,1.96905,2.7471,1.55105,0.0003812,0.0003812,0.0003812
14,315.081,1.5517,1.6473,1.28081,0.0575,0.44516,0.13463,0.05641,1.95864,2.75132,1.52907,0.000401004,0.000401004,0.000401004
15,337.264,1.53939,1.60806,1.29992,0.05708,0.44194,0.13547,0.0591,1.93838,2.74927,1.51768,0.000419224,0.000419224,0.000419224
16,360.02,1.48626,1.60905,1.26753,0.05792,0.44839,0.13813,0.06063,1.96332,2.72018,1.52482,0.00043586,0.00043586,0.00043586
17,382.968,1.52408,1.577,1.28237,0.05911,0.44516,0.1614,0.06181,2.06512,2.67266,1.53825,0.000450912,0.000450912,0.000450912
18,405.443,1.44923,1.53114,1.23635,0.06884,0.47742,0.18626,0.07419,2.00098,2.57963,1.50823,0.00046438,0.00046438,0.00046438
19,428.264,1.55882,1.61485,1.329,0.11608,0.41613,0.21877,0.09616,1.93809,2.46968,1.46171,0.000476264,0.000476264,0.000476264
20,452.365,1.49616,1.62083,1.3024,0.16085,0.39355,0.23441,0.1095,1.80911,2.36941,1.41618,0.000486564,0.000486564,0.000486564
21,476.379,1.5046,1.52352,1.28249,0.21341,0.38065,0.23273,0.10946,1.78467,2.33525,1.42635,0.00049528,0.00049528,0.00049528
22,500.941,1.40718,1.56537,1.27164,0.27146,0.31613,0.2312,0.10931,1.79514,2.31184,1.42545,0.000502412,0.000502412,0.000502412
23,528.541,1.48158,1.52695,1.2992,0.39485,0.26129,0.23291,0.10161,1.84923,2.2699,1.45067,0.00050796,0.00050796,0.00050796
24,554.984,1.39737,1.45316,1.20843,0.46626,0.22258,0.23556,0.10839,1.83592,2.20218,1.44951,0.000511924,0.000511924,0.000511924
25,579.641,1.34137,1.46977,1.24042,0.42728,0.22903,0.233,0.1067,1.83869,2.22372,1.45354,0.000514304,0.000514304,0.000514304
26,601.781,1.34486,1.41399,1.23999,0.42854,0.22903,0.22789,0.10732,1.86944,2.2304,1.49534,0.0005151,0.0005151,0.0005151
27,623.823,1.39641,1.43833,1.25889,0.43777,0.22258,0.231,0.11013,1.82969,2.22009,1.49332,0.000514312,0.000514312,0.000514312
28,646.626,1.44768,1.39453,1.24023,0.43777,0.22258,0.231,0.11013,1.82969,2.22009,1.49332,0.00051194,0.00051194,0.00051194
29,669.403,1.36135,1.41868,1.23943,0.43204,0.24048,0.23764,0.11472,1.79492,2.18683,1.47411,0.000507984,0.000507984,0.000507984
30,690.164,1.39229,1.40707,1.22718,0.45749,0.24194,0.26088,0.12865,1.76337,2.14507,1.45402,0.000502444,0.000502444,0.000502444
31,711.312,1.257,1.42924,1.21309,0.45749,0.24194,0.26088,0.12865,1.76337,2.14507,1.45402,0.00049532,0.00049532,0.00049532
32,733.267,1.29076,1.40514,1.21072,0.44816,0.24888,0.26214,0.12793,1.76413,2.14321,1.44079,0.000486612,0.000486612,0.000486612
33,754.933,1.27501,1.32358,1.17781,0.44274,0.23835,0.25713,0.12689,1.78704,2.15269,1.44455,0.00047632,0.00047632,0.00047632
34,775.698,1.21961,1.29431,1.18517,0.44274,0.23835,0.25713,0.12689,1.78704,2.15269,1.44455,0.000464444,0.000464444,0.000464444
35,796.872,1.3017,1.35211,1.20411,0.40677,0.23226,0.25233,0.1209,1.7931,2.16564,1.44747,0.000450984,0.000450984,0.000450984
