epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,816.764,1.21215,1.30305,1.14503,0.41708,0.22903,0.24742,0.12246,1.77494,2.16088,1.44208,0.00043594,0.00043594,0.00043594
37,837.591,1.26935,1.29388,1.18529,0.41708,0.22903,0.24742,0.12246,1.77494,2.16088,1.44208,0.000419312,0.000419312,0.000419312
38,859.463,1.32373,1.36332,1.22627,0.49726,0.22654,0.25314,0.13043,1.79614,2.11864,1.45631,0.0004011,0.0004011,0.0004011
39,881.746,1.27659,1.27478,1.17665,0.42031,0.26774,0.26015,0.1346,1.75909,2.08006,1.43716,0.000381304,0.000381304,0.000381304
40,902.265,1.22076,1.23384,1.1871,0.42031,0.26774,0.26015,0.1346,1.75909,2.08006,1.43716,0.000359924,0.000359924,0.000359924
41,924.941,1.20261,1.47569,1.171,0.41106,0.26774,0.2587,0.13179,1.77374,2.04243,1.45583,0.00033696,0.00033696,0.00033696
42,948.429,1.28644,1.52058,1.20668,0.4005,0.28065,0.2623,0.12859,1.7679,2.03987,1.46092,0.000312412,0.000312412,0.000312412
43,970.834,1.22379,1.44004,1.17019,0.4005,0.28065,0.2623,0.12859,1.7679,2.03987,1.46092,0.00028628,0.00028628,0.00028628
44,992.743,1.24713,1.50203,1.21484,0.3857,0.27141,0.25125,0.12352,1.76057,2.04285,1.46669,0.000258564,0.000258564,0.000258564
45,1014.28,1.21737,1.3682,1.16861,0.3857,0.27141,0.25125,0.12352,1.76057,2.04285,1.46669,0.000229264,0.000229264,0.000229264
46,1035.4,1.21368,1.35139,1.17021,0.3607,0.27742,0.24606,0.12329,1.72247,2.02348,1.45518,0.00019838,0.00019838,0.00019838
47,1056.81,1.31539,1.53584,1.21338,0.3607,0.27742,0.24606,0.12329,1.72247,2.02348,1.45518,0.000165912,0.000165912,0.000165912
48,1078.49,1.32095,1.4563,1.23508,0.35948,0.28387,0.25055,0.1244,1.71646,1.98483,1.44254,0.00013186,0.00013186,0.00013186
49,1099.21,1.18901,1.33732,1.1486,0.35948,0.28387,0.25055,0.1244,1.71646,1.98483,1.44254,9.6224e-05,9.6224e-05,9.6224e-05
50,1120.32,1.23231,1.37155,1.193,0.37754,0.28957,0.26365,0.13091,1.69779,1.92794,1.4277,5.9004e-05,5.9004e-05,5.9004e-05
